date,symbol,reportedCurrency,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,totalAssets,accountPayables,shortTermDebt,deferredRevenue,totalCurrentLiabilities,longTermDebt,totalDebt,totalLiabilities,totalStockholdersEquity,totalEquity
2025-06-30,MSFT,USD,FY,30242000000,64313000000,94555000000,69905000000,938000000,191131000000,229789000000,119509000000,22604000000,619003000000,27724000000,2999000000,64555000000,141218000000,40152000000,112184000000,275524000000,343479000000,343479000000
2024-06-30,MSFT,USD,FY,18315000000,57216000000,75531000000,56924000000,1246000000,159734000000,154552000000,119220000000,27597000000,512163000000,21996000000,8942000000,57582000000,125286000000,42688000000,97852000000,243686000000,268477000000,268477000000
2023-06-30,MSFT,USD,FY,34704000000,76552000000,111256000000,48688000000,2500000000,184257000000,109987000000,67886000000,9366000000,411976000000,18095000000,5247000000,50901000000,104149000000,41990000000,79441000000,205753000000,206223000000,206223000000
2022-06-30,MSFT,USD,FY,13931000000,90818000000,104749000000,44261000000,3742000000,169684000000,87546000000,67524000000,11298000000,364840000000,19000000000,2749000000,45538000000,95082000000,47032000000,78400000000,198298000000,166542000000,166542000000
2021-06-30,MSFT,USD,FY,14224000000,116032000000,130256000000,38043000000,2636000000,184406000000,70803000000,49711000000,7800000000,333779000000,15163000000,8072000000,41525000000,88657000000,50074000000,82278000000,191791000000,141988000000,141988000000
