date,symbol,reportedCurrency,period,revenue,costOfRevenue,grossProfit,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,operatingExpenses,operatingIncome,ebitda,netIncome,eps,weightedAverageShsOut,weightedAverageShsOutDil
2025-06-30,MSFT,USD,FY,281724000000,87831000000,193893000000,32488000000,7223000000,25654000000,32877000000,65365000000,128528000000,160165000000,101832000000,13.7,7433000000,7465000000
2024-06-30,MSFT,USD,FY,245122000000,74114000000,171008000000,29510000000,7609000000,24456000000,32065000000,61575000000,109433000000,133009000000,88136000000,11.86,7431000000,7469000000
2023-06-30,MSFT,USD,FY,211915000000,65863000000,146052000000,27195000000,7575000000,22759000000,30334000000,57529000000,88523000000,105140000000,72361000000,9.72,7446000000,7472000000
2022-06-30,MSFT,USD,FY,198270000000,62650000000,135620000000,24512000000,5900000000,21825000000,27725000000,52237000000,83383000000,100239000000,72738000000,9.7,7496000000,7540000000
2021-06-30,MSFT,USD,FY,168088000000,52232000000,115856000000,20716000000,5107000000,20117000000,25224000000,45940000000,69916000000,85134000000,61271000000,8.12,7547000000,7608000000
