date,symbol,reportedCurrency,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,operatingCashFlow,capitalExpenditure,freeCashFlow,netCashProvidedByOperatingActivities
2025-06-30,MSFT,USD,FY,101832000000,34153000000,-7056000000,11974000000,-5350000000,-10581000000,309000000,569000000,4353000000,136162000000,-64551000000,71611000000,136162000000
2024-06-30,MSFT,USD,FY,88136000000,22287000000,-4738000000,10734000000,1824000000,-7191000000,1284000000,3545000000,4186000000,118548000000,-44477000000,74071000000,118548000000
2023-06-30,MSFT,USD,FY,72361000000,13861000000,-6059000000,9611000000,-2388000000,-4087000000,1242000000,-2721000000,3178000000,87582000000,-28107000000,59475000000,87582000000
2022-06-30,MSFT,USD,FY,72738000000,14460000000,-5702000000,7502000000,446000000,-6834000000,-1123000000,2943000000,5460000000,89035000000,-23886000000,65149000000,89035000000
2021-06-30,MSFT,USD,FY,61271000000,11686000000,-150000000,6118000000,-936000000,-6481000000,-737000000,2798000000,3484000000,76740000000,-20622000000,56118000000,76740000000
