date,symbol,reportedCurrency,cik,filingDate,acceptedDate,fiscalYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,accountsReceivables,otherReceivables,inventory,prepaids,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,totalPayables,accountPayables,otherPayables,accruedExpenses,shortTermDebt,capitalLeaseObligationsCurrent,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,capitalLeaseObligationsNonCurrent,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,treasuryStock,preferredStock,commonStock,retainedEarnings,additionalPaidInCapital,accumulatedOtherComprehensiveIncomeLoss,otherTotalStockholdersEquity,totalStockholdersEquity,totalEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt
2025-06-30,MSFT,USD,0000789019,2025-07-30,2025-07-30 16:11:40,2025,FY,30242000000,64313000000,94555000000,69905000000,69905000000,0,938000000,0,25733000000,191131000000,229789000000,119509000000,22604000000,142113000000,15133000000,0,40837000000,427872000000,0,619003000000,34935000000,27724000000,7211000000,0,2999000000,8596000000,0,64555000000,30133000000,141218000000,40152000000,60437000000,2710000000,2835000000,28172000000,134306000000,0,69033000000,275524000000,0,0,109095000000,237731000000,0,-3347000000,0,343479000000,343479000000,0,619003000000,79446000000,112184000000,81942000000
2024-06-30,MSFT,USD,0000789019,2024-07-30,2024-07-30 16:06:22,2024,FY,18315000000,57216000000,75531000000,56924000000,56924000000,0,1246000000,0,26033000000,159734000000,154552000000,119220000000,27597000000,146817000000,14600000000,0,36460000000,352429000000,0,512163000000,27013000000,21996000000,5017000000,0,8942000000,5929000000,5017000000,57582000000,25820000000,125286000000,42688000000,40293000000,2602000000,2618000000,30199000000,118400000000,0,46222000000,243686000000,0,0,100923000000,173144000000,0,-5590000000,0,268477000000,268477000000,0,512163000000,71816000000,97852000000,79537000000
2023-06-30,MSFT,USD,0000789019,2023-07-27,2023-07-27 16:01:56,2023,FY,34704000000,76552000000,111256000000,48688000000,48688000000,0,2500000000,0,21813000000,184257000000,109987000000,67886000000,9366000000,77252000000,9879000000,0,30601000000,227719000000,0,411976000000,22247000000,18095000000,4152000000,0,5247000000,3606000000,4152000000,50901000000,22148000000,104149000000,41990000000,28598000000,2912000000,433000000,27671000000,101604000000,0,32204000000,205753000000,0,0,93718000000,118848000000,0,-6343000000,0,206223000000,206223000000,0,411976000000,86431000000,79441000000,44737000000
2022-06-30,MSFT,USD,0000789019,2022-07-28,2022-07-28 16:06:19,2022,FY,13931000000,90818000000,104749000000,44261000000,44261000000,0,3742000000,0,16932000000,169684000000,87546000000,67524000000,11298000000,78822000000,6891000000,0,21897000000,195156000000,0,364840000000,23067000000,19000000000,4067000000,0,2749000000,3288000000,4067000000,45538000000,20440000000,95082000000,47032000000,25331000000,2870000000,230000000,27753000000,103216000000,0,28619000000,198298000000,0,0,86939000000,84281000000,0,-4678000000,0,166542000000,166542000000,0,364840000000,97709000000,78400000000,64469000000
2021-06-30,MSFT,USD,0000789019,2021-07-29,2021-07-29 16:21:55,2021,FY,14224000000,116032000000,130256000000,38043000000,38043000000,0,2636000000,0,13471000000,184406000000,70803000000,49711000000,7800000000,57511000000,5984000000,0,15075000000,149373000000,0,333779000000,17337000000,15163000000,2174000000,0,8072000000,2753000000,2174000000,41525000000,18970000000,88657000000,50074000000,21379000000,2616000000,198000000,28867000000,103134000000,0,24132000000,191791000000,0,0,83111000000,57055000000,0,1822000000,0,141988000000,141988000000,0,333779000000,122016000000,82278000000,68054000000
